area,welfare,weight
rural,1395.9303082191782,589.25482177734375
rural,407.5203017979452,763.15985107421875
rural,161.17744006849315,132.64041137695312
rural,578.4653039383562,972.3658447265625
rural,67.8441379494863,595.93780517578125
rural,176.0486301369863,419.2846374511719
rural,153.3052493578767,398.89556884765625
rural,247.59147046232877,1940.273681640625
rural,159.21336151541095,828.32086181640625
rural,96.13391481164383,662.6993408203125
rural,98.32665346746575,350.70416259765625
rural,218.3749892979452,702.16748046875
rural,593.1181720890411,236.17808532714844
rural,116.23268675085616,56.30718231201172
rural,152.77978381849314,1064.5552978515625
rural,796.9854452054794,160.214599609375
rural,903.9356378424658,355.01751708984375
rural,190.19932577054794,514.41314697265625
rural,177.8353863441781,1070.9580078125
rural,373.6050834760274,960.51385498046875
rural,270.05047089041096,193.12625122070312
